product_name,product_slug,product_page_url,source_image_url,local_filename,image_number,width,height,original_format,original_mime_type,file_size_bytes,sha256,download_status
Halo Hand & Nail Cream,hand-and-nail-treatment,https://drnona.com/product/hand-and-nail-treatment,https://res.cloudinary.com/drnona-com/image/upload/products/1/hand-and-nail-treatment.jpg?v=2026-07-07T07%3A19%3A38.493237,halo-hand-and-nail-cream-01.png,01,2953,2953,JPEG,image/jpeg,1096913,cbc19cac4fca6b37e9988ec5b2ebae5003c0d8279a7cc51aadcc2715b30aa678,success
Halo Night Cream,night-cream,https://drnona.com/product/night-cream,https://res.cloudinary.com/drnona-com/image/upload/products/1/night-cream.jpg?v=2026-07-07T07%3A23%3A18.552428,halo-night-cream-01.png,01,2953,2953,JPEG,image/jpeg,1759641,1da1c19d54e752e0a4bb5c791645c9980e1be9209299214f83d76fe9af9ca914,success
Halo Mineral Lipstick,lipstick-new,https://drnona.com/product/lipstick-new,https://res.cloudinary.com/drnona-com/image/upload/products/1/lipstick-new.jpg?v=2026-07-07T07%3A21%3A17.017731,halo-mineral-lipstick-01.png,01,2953,2953,JPEG,image/jpeg,1657863,a8cb88f7a94c56a50937d69a0053c4e1b273710e575b4b6eb1513284fbfea1bf,success
HALO-COMPLEX™ Calming bath salts with Camomile extract,salts-camomile,https://drnona.com/product/salts-camomile,https://res.cloudinary.com/drnona-com/image/upload/products/2/salts-camomile.jpg?v=2026-06-30T05%3A52%3A43.686173,halo-complextm-calming-bath-salts-with-camomile-extract-01.png,01,2000,2000,JPEG,image/jpeg,925674,63f4d0099789919160ca2ab5a12b5373020fe085b59386674a868bf0733cd8ed,success
HALO-COMPLEX™ Relaxing bath salts with Lavander extract,salts-lavander,https://drnona.com/product/salts-lavander,https://res.cloudinary.com/drnona-com/image/upload/products/2/salts-lavander.jpg?v=2026-06-30T05%3A57%3A21.162797,halo-complextm-relaxing-bath-salts-with-lavander-extract-01.png,01,2000,2000,JPEG,image/jpeg,925072,1949e10af8b43b869f76a66f41e7b00652fdb84febafdcd28b9f63561cc20e85,success
"HALO-COMPLEX™ Reviving bath salts with Rosemary, Eucalyptus & Thyme extract",salts-rosemary,https://drnona.com/product/salts-rosemary,https://res.cloudinary.com/drnona-com/image/upload/products/2/salts-rosemary.jpg?v=2026-06-30T06%3A22%3A41.625629,halo-complextm-reviving-bath-salts-with-rosemary-eucalyptus-and-thyme-ex-01.png,01,2000,2000,JPEG,image/jpeg,920799,bebbf0c5d04f9c28245a38d86c00c94294ba8d23179e37bc475fc27aa06ccf3c,success
"HALO-COMPLEX™ Refreshing bath salts with Ylang Ylang, Patchouli & Anis Star extract",salts-ylangylang,https://drnona.com/product/salts-ylangylang,https://res.cloudinary.com/drnona-com/image/upload/products/2/salts-ylangylang.jpg?v=2026-06-30T06%3A27%3A18.301662,halo-complextm-refreshing-bath-salts-with-ylang-ylang-patchouli-and-anis-01.png,01,2000,2000,JPEG,image/jpeg,928334,fa49ce43ca22c58ec75079a10aaf8de39322e617a073a7dbc62198743b8f13e0,success
Halo Dynamic Cream,dynamic-hydrating-cream,https://drnona.com/product/dynamic-hydrating-cream,https://res.cloudinary.com/drnona-com/image/upload/products/2/dynamic-hydrating-cream.jpg?v=2026-05-11T15%3A13%3A15.102721,halo-dynamic-cream-01.png,01,2953,2953,JPEG,image/jpeg,1782390,9b51bde2391ebcae3bc8d06e8cd12a8e4e5e190d1fab3d13622db85bb7c3e0de,success
Halo Bath Salts Quartet,a-quartet-of-bath-salts,https://drnona.com/product/a-quartet-of-bath-salts,https://res.cloudinary.com/drnona-com/image/upload/products/2/a-quartet-of-bath-salts.jpg?v=2026-06-29T12%3A21%3A33.652088,halo-bath-salts-quartet-01.png,01,500,500,JPEG,image/jpeg,172047,fb2f07570dde2a5c2e15cbdb4a5e37ec41bcc1523cf3b0c255bf03b9f24f5914,success
Halo Solaris Body Lotion,solaris-body-lotion,https://drnona.com/product/solaris-body-lotion,https://res.cloudinary.com/drnona-com/image/upload/products/2/solaris-body-lotion.jpg?v=2024-09-01T07%3A58%3A48.826832,halo-solaris-body-lotion-01.png,01,2953,2953,JPEG,image/jpeg,1200994,8fd1d09fa14ff0790348d37ce622c0178d0cc6b297b803f2802f5af2eb921ad7,success
