product_name,product_slug,product_page_url,source_image_url,local_filename,image_number,width,height,original_format,original_mime_type,file_size_bytes,sha256,download_status
Compressed Wipes,dead-sea-water-compresses,https://www.drnona.md/compressed_wipes_ru,https://static.tildacdn.one/tild3535-3162-4463-a137-636235333364/Compressed_Wipes.webp,compressed-wipes-01.png,01,1680,2240,WEBP,image/webp,492839,a56b5f856e310f0e08486f6c805c1d7ba9e9377b8412fc50ea10dedb314374bc,success
Shower Gel ( LORD ),shower-gel-lord,https://www.drnona.md/shower_gel_lord,https://static.tildacdn.one/tild6539-3536-4838-a136-666632613665/Shower_Gel_Lord.webp,shower-gel-lord-01.png,01,1680,2240,WEBP,image/webp,632666,dcf19cf7e4d6770a84531c671ae09c38b2d971366925734ccbb7e1644f109217,success
Multi Mouthwash,mouthwash,https://www.drnona.md/mouthwash,https://static.tildacdn.one/tild3266-3037-4238-b433-653565373662/Mouthwash.webp,multi-mouthwash-01.png,01,1680,2240,WEBP,image/webp,477288,0d75547d4c2863291d5add2e36d66ef200f7c598e9717b4ab4de3a58f920189f,success
Deodorant ( LORD ),lord-deodorant,https://www.drnona.md/deodorant_lord,https://static.tildacdn.one/tild3134-6535-4533-b763-376463323966/_.webp,deodorant-lord-01.png,01,1680,2240,WEBP,image/webp,680628,d18cd46726523091843c944683c277fa8c4a02cc7caae8a30b7510959a868c16,success
Deodorant ( LADY ),lady-deodorant,https://www.drnona.md/deodorant_lady,https://static.tildacdn.one/tild3938-6630-4562-b033-376666343533/Deodorant_Lady.webp,deodorant-lady-01.png,01,1680,2240,WEBP,image/webp,401610,556ac1a36d1e28577f1e5582d534f2438f7a9cf65fd39193753ae1a714b194aa,success
Deodorant ( KIWI ),kiwi-deodorant,https://www.drnona.md/deodorant_kiwi,https://static.tildacdn.one/tild6130-6538-4138-b831-646331616662/Deodorat_Kiwi.webp,deodorant-kiwi-01.png,01,1680,2240,WEBP,image/webp,414227,52b44b5ae88283d00600f1ebd9bff5c27ea4f35f34010a52963c7c2a040182a1,success
Unisex Deodorant Stick,halo-pure-unisex-deodorant-stick,https://www.drnona.md/unisex_deodorant_stick,https://static.tildacdn.one/tild6630-3564-4432-a639-376462663465/_.webp,unisex-deodorant-stick-01.png,01,1680,2240,WEBP,image/webp,844613,d799b95f2bfdc9f8bc623e97d050d5bea20f8f5b2c5894dbabe17bdf4a7b933f,success
Shenseen Mousse Toothpaste,halo-shenseen-toothpaste,https://www.drnona.md/shenseen_mousse_toothpaste,https://static.tildacdn.one/tild6239-3235-4264-a461-656438636237/_.webp,shenseen-mousse-toothpaste-01.png,01,1680,2240,WEBP,image/webp,657853,d20abe4d047f783b27378e7b4cd4636b1abf5f503ce1057279469c3abb038d12,success
Facial Foam Soap,face-soap,https://www.drnona.md/facial_foam_soap,https://static.tildacdn.one/tild3766-3764-4538-b562-333864643466/__.webp,facial-foam-soap-01.png,01,1680,2240,WEBP,image/webp,463949,00c6f88d009995c60296284f5aa76656e8993f0de1ef6a8b1822b3adb6cc6a4b,success
Mineral Hair Conditioner,conditioner,https://www.drnona.md/mineral_hair_conditioner,https://static.tildacdn.one/tild3639-3435-4339-b262-663234616138/photo.webp,mineral-hair-conditioner-01.png,01,1680,2240,WEBP,image/webp,1055389,583ecf3b8be6be2042eefa7811b847b3e3627ab1309dc291af8db10408dd29d9,success
Shower Gel,halo-gel,https://www.drnona.md/shower_gel,https://static.tildacdn.one/tild3465-6437-4231-b438-373739646563/__.webp,shower-gel-01.png,01,1680,2240,WEBP,image/webp,921774,d0635d21a71cf147bccc52dbfac2b00c94d8e58efe7fff0638e9788021d22011,success
Mineral Shampoo,frequent-use-tonic-shampoo,https://www.drnona.md/mineral_shampoo,https://static.tildacdn.one/tild3965-3132-4236-b533-336135643535/photo.webp,mineral-shampoo-01.png,01,1680,2240,WEBP,image/webp,986503,e752dc4bd7ae4d77adf03f508dc40e27db6df0cad34bcb6d260075d91245942c,success
Bath Salts with Camomile extract,salts-camomile,https://www.drnona.md/bath_salts_with_chamomile_extract,https://static.tildacdn.one/tild3130-6635-4262-b637-333530346335/_.webp,bath-salts-with-camomile-extract-01.png,01,1680,2240,WEBP,image/webp,963741,e6d1dcfab17ef72bfa1874c5af6a5a9c4105734095952801df53ab54e95a90c0,success
Mineral Lipstick,lipstick-new,https://www.drnona.md/mineral_lipstick,https://static.tildacdn.one/tild6466-3832-4533-b335-653836316236/photo.webp,mineral-lipstick-01.png,01,1680,2240,WEBP,image/webp,771794,a93dd70685e88e4c229056f9d863fc2f1015d6a2e60ded35086ccb0e7a9f60c4,success
