asset_id,product_name,product_slug,product_page_url,source_image_url
h01,Compressed Wipes,dead-sea-water-compresses,https://www.drnona.md/compressed_wipes_ru,https://static.tildacdn.one/tild3535-3162-4463-a137-636235333364/Compressed_Wipes.webp
h02,Shower Gel ( LORD ),shower-gel-lord,https://www.drnona.md/shower_gel_lord,https://static.tildacdn.one/tild6539-3536-4838-a136-666632613665/Shower_Gel_Lord.webp
h03,Multi Mouthwash,mouthwash,https://www.drnona.md/mouthwash,https://static.tildacdn.one/tild3266-3037-4238-b433-653565373662/Mouthwash.webp
h04,Deodorant ( LORD ),lord-deodorant,https://www.drnona.md/deodorant_lord,https://static.tildacdn.one/tild3134-6535-4533-b763-376463323966/_.webp
h05,Deodorant ( LADY ),lady-deodorant,https://www.drnona.md/deodorant_lady,https://static.tildacdn.one/tild3938-6630-4562-b033-376666343533/Deodorant_Lady.webp
h06,Deodorant ( KIWI ),kiwi-deodorant,https://www.drnona.md/deodorant_kiwi,https://static.tildacdn.one/tild6130-6538-4138-b831-646331616662/Deodorat_Kiwi.webp
h07,Unisex Deodorant Stick,halo-pure-unisex-deodorant-stick,https://www.drnona.md/unisex_deodorant_stick,https://static.tildacdn.one/tild6630-3564-4432-a639-376462663465/_.webp
h08,Shenseen Mousse Toothpaste,halo-shenseen-toothpaste,https://www.drnona.md/shenseen_mousse_toothpaste,https://static.tildacdn.one/tild6239-3235-4264-a461-656438636237/_.webp
h09,Facial Foam Soap,face-soap,https://www.drnona.md/facial_foam_soap,https://static.tildacdn.one/tild3766-3764-4538-b562-333864643466/__.webp
h10,Mineral Hair Conditioner,conditioner,https://www.drnona.md/mineral_hair_conditioner,https://static.tildacdn.one/tild3639-3435-4339-b262-663234616138/photo.webp
h11,Shower Gel,halo-gel,https://www.drnona.md/shower_gel,https://static.tildacdn.one/tild3465-6437-4231-b438-373739646563/__.webp
h12,Mineral Shampoo,frequent-use-tonic-shampoo,https://www.drnona.md/mineral_shampoo,https://static.tildacdn.one/tild3965-3132-4236-b533-336135643535/photo.webp
h13,Bath Salts with Camomile extract,salts-camomile,https://www.drnona.md/bath_salts_with_chamomile_extract,https://static.tildacdn.one/tild3130-6635-4262-b637-333530346335/_.webp
h14,Mineral Lipstick,lipstick-new,https://www.drnona.md/mineral_lipstick,https://static.tildacdn.one/tild6466-3832-4533-b335-653836316236/photo.webp
h15,Recovering Mud Musk,beauty-mask-for-face,https://www.drnona.md/recovering_mud_musk,https://static.tildacdn.one/tild3962-3238-4366-b335-373531356432/photo.webp
h16,Bath Salts with Lavander extract,salts-lavander,https://www.drnona.md/bath_salts_with_lavender_extract,https://static.tildacdn.one/tild3164-6434-4366-b438-643264656665/_.webp
h17,"Bath Salts with Ylang Ylang, Patchouli & Anis Star Extract",salts-ylangylang,https://www.drnona.md/bath_salts_with_ylang_ylang_extract,https://static.tildacdn.one/tild3364-3433-4230-a664-313236643335/__.webp
h18,"Bath Salts with Rosemary, Eucalyptus & Thyme extract",salts-rosemary,https://www.drnona.md/bath_salts_with_rosemary_extract,https://static.tildacdn.one/tild3966-3361-4263-b037-313030383837/_.webp
s01,PHASE-9,fase-9,https://www.drnona.md/phase_9,https://static.tildacdn.one/tild3961-3764-4365-b533-666630656237/Phase_9.webp
s02,DND,dnd-chewing-gum-tablets,https://www.drnona.md/dnd,https://static.tildacdn.one/tild6562-3734-4533-a434-366638646464/DND.webp
s03,OKSEEN,okseen,https://www.drnona.md/okseen,https://static.tildacdn.one/tild3730-3330-4432-b338-623664373536/Okseen.webp
s04,CLEANSEEN,cleanseen,https://www.drnona.md/cleanseen,https://static.tildacdn.one/tild3235-6532-4862-a566-303262373062/photo.webp
s05,GOLDSEEN,goldseen,https://www.drnona.md/goldseen,https://static.tildacdn.one/tild3638-3265-4536-b166-666338663435/Goldseen.webp
s06,IMUNSEEN,imunseen,https://www.drnona.md/imunseen,https://static.tildacdn.one/tild3863-6137-4636-b766-333838313236/photo.webp
s07,PULMOSEEN,pulmoseen,https://www.drnona.md/pulmoseen,https://static.tildacdn.one/tild3033-3565-4264-b963-386430623337/photo.webp
s08,REUMOSEEN,reumoseen,https://www.drnona.md/reumoseen,https://static.tildacdn.one/tild6166-3832-4135-a664-343634663237/photo.webp
s09,RAVSEEN,ravseen,https://www.drnona.md/ravseen,https://static.tildacdn.one/tild6435-3037-4231-b162-366437646464/photo.webp
s10,NEWSEEN,newseen,https://www.drnona.md/newseen,https://static.tildacdn.one/tild3332-6234-4566-b336-393261323063/photo.webp
s11,FEMSEEN,femseen,https://www.drnona.md/femseen,https://static.tildacdn.one/tild3239-6630-4835-b334-383133356633/photo.webp
s12,YAMSEEN,yamseen,https://www.drnona.md/yamseen,https://static.tildacdn.one/tild3735-3366-4735-a666-643336633535/photo.webp
c01,Dynamic Cream,dynamic-hydrating-cream,https://www.drnona.md/dynamic,https://static.tildacdn.one/tild3933-3663-4035-a661-626137616635/Dynamic.webp
c02,Solaris Body Lotion,solaris-body-lotion,https://www.drnona.md/solaris,https://static.tildacdn.one/tild3434-3832-4861-b537-353233343134/Solaris_without_back.webp
c03,Hand and Nail Cream,hand-and-nail-treatment,https://www.drnona.md/hand_and_nail_cream,https://static.tildacdn.one/tild6232-3738-4638-a665-373430623266/____.webp
c04,Shea Body Butter,body-butter,https://www.drnona.md/body_butter,https://static.tildacdn.one/tild6331-3038-4535-b163-386163333363/Body_butter.webp
c05,Solaris Facial Cream,facial-solaris,https://www.drnona.md/facial_solaris,https://static.tildacdn.one/tild3237-3336-4539-b862-643235623461/Facial_Solaris.webp
c06,Eye Care Balm,eye-contour-balm,https://www.drnona.md/eye_care_balm,https://static.tildacdn.one/tild3764-6261-4932-b535-323963393037/__.webp
c07,Anti-Aging Serum,anti-aging-serum,https://www.drnona.md/anti_aging_serum,https://static.tildacdn.one/tild3566-6133-4436-b564-386632373266/photo.webp
c08,Face Milk,face-milk,https://www.drnona.md/face_milk,https://static.tildacdn.one/tild6637-3563-4539-a632-623132393766/photo.webp
c09,Night Cream,night-cream,https://www.drnona.md/night_cream,https://static.tildacdn.one/tild6637-6531-4332-a633-363963373363/_.webp
c10,Top Samples Kit,samples-kit,https://www.drnona.md/top_samples_kit,https://static.tildacdn.one/tild3735-6263-4133-b036-336639376464/photo.webp
c11,Moisturizing Cream For Face,ard-complex,https://www.drnona.md/ard_cream_for_face,https://static.tildacdn.one/tild6339-3262-4033-b236-393437636434/ARD___.webp
c12,Day Time Face Cream,shp-day-time-face-cream-lc,https://www.drnona.md/shp_day_time_face_cream,https://static.tildacdn.one/tild3739-3763-4035-a236-613039346136/ARD_SPF_.webp
p01,Eau De Parfume ( KIWI ),perfume-kiwi,https://www.drnona.md/parfume_kiwi,https://static.tildacdn.one/tild6463-3464-4334-b064-386166366265/_.webp
p02,Eau De Parfume ( LADY ),perfume-lady,https://www.drnona.md/parfume_lady,https://static.tildacdn.one/tild3330-3535-4337-a362-363933666661/_.webp
p03,Eau De Parfume ( LORD ),after-shave-lord,https://www.drnona.md/parfume_lord,https://static.tildacdn.one/tild6530-6231-4237-a466-383936343565/_.webp
p04,Eau De Parfume ( FAYA ),parfum-faya,https://www.drnona.md/parfume_faya,https://static.tildacdn.one/tild3138-3839-4635-a265-336437313265/_.webp
d01,Chocoseen,chocoseen,https://www.drnona.md/chocoseen,https://static.tildacdn.one/tild3865-6531-4033-a639-346339303033/photo.webp
d02,Slimseen Coffee Mix,coffee-mix,https://www.drnona.md/slimseen_coffee_mix,https://static.tildacdn.one/tild6235-3636-4763-a235-313562613536/Slimseen_Coffee_Mix.webp
d03,Gonseen Tea,gonseen,https://www.drnona.md/gonseen,https://static.tildacdn.one/tild6439-3030-4363-b234-373863646465/Gonseen_wthout_backg.webp
d04,Soupseen,soupseen,https://www.drnona.md/soupseen,https://static.tildacdn.one/tild3136-3638-4235-a663-326132373439/photo.webp
